method,target,N,seed,fold,n_train,n_val,n_test,runtime_seconds,pearson,rmse,mae
ncr_contrastive,working_memory,200,1,3,136,24,40,22.317105770111084,0.2386256092941839,10.142872625080589,8.364145622023493
no_prior_ridge,working_memory,200,1,3,136,24,40,0.6020619869232178,0.238625609294184,10.142872625080589,8.364145622023493
ncr_contrastive,working_memory,200,1,4,136,24,40,22.42530536651612,0.3149435985973324,10.16059826491525,8.564756946388105
no_prior_ridge,working_memory,200,1,4,136,24,40,0.7546751499176025,0.3151620498537169,10.160592047036143,8.564750262224207
ncr_contrastive,working_memory,200,2,0,136,24,40,21.592064142227173,0.2519228025479948,10.981801920030248,8.896139490310816
no_prior_ridge,working_memory,200,2,0,136,24,40,0.7216906547546387,0.2519228025479971,10.981801920030232,8.89613949031082
ncr_contrastive,working_memory,200,2,1,136,24,40,22.36842679977417,0.2786712160707304,10.567966747713305,8.322437486778954
no_prior_ridge,working_memory,200,2,1,136,24,40,1.5884864330291748,0.2786712160707283,10.567966747713315,8.322437486778963
ncr_contrastive,working_memory,200,2,2,136,24,40,19.074454307556152,0.2167371163293231,11.57523597882557,9.42431581448795
no_prior_ridge,working_memory,200,2,2,136,24,40,0.7072556018829346,0.2167371163293237,11.575235978825566,9.42431581448795
ncr_contrastive,working_memory,200,2,3,136,24,40,22.255687713623047,0.4216216735653509,10.850440063930186,8.6683175718909
no_prior_ridge,working_memory,200,2,3,136,24,40,0.7200374603271484,0.4216216735653509,10.850440063930185,8.668317571890892
ncr_contrastive,working_memory,200,2,4,136,24,40,22.58791971206665,0.2741398872319613,12.073226157578205,9.90644706472725
no_prior_ridge,working_memory,200,2,4,136,24,40,2.999316930770874,0.3010297268219893,11.920162481659624,9.988351751133166
ncr_contrastive,fluid_intelligence,412,0,0,279,50,83,57.61027121543884,0.4962832114030741,3.843738707108965,3.002361822389205
no_prior_ridge,fluid_intelligence,412,0,0,279,50,83,40.7954375743866,0.4962832114030736,3.843738707108966,3.002361822389208
ncr_contrastive,fluid_intelligence,412,0,1,279,50,83,55.7273805141449,0.3286328727925056,4.795932997629168,4.114937418996482
no_prior_ridge,fluid_intelligence,412,0,1,279,50,83,32.26026201248169,0.3286328727925057,4.795932997629167,4.114937418996482
ncr_contrastive,fluid_intelligence,412,0,2,280,50,82,50.1414577960968,0.3166020072821797,5.00491669877754,4.207126024377002
no_prior_ridge,fluid_intelligence,412,0,2,280,50,82,32.129063844680786,0.3166020072821794,5.004916698777541,4.207126024377005
ncr_contrastive,fluid_intelligence,412,0,3,280,50,82,65.70157098770142,0.1680819883211552,4.910270413330272,4.199452165433157
no_prior_ridge,fluid_intelligence,412,0,3,280,50,82,30.277342081069943,0.1680819883211529,4.910270413330277,4.199452165433161
ncr_contrastive,fluid_intelligence,412,0,4,280,50,82,55.53606295585632,0.3851598328572968,4.744372015097964,3.770329049831639
no_prior_ridge,fluid_intelligence,412,0,4,280,50,82,31.659868001937863,0.4226895065051623,4.700730352080461,3.8518203991855375
ncr_contrastive,fluid_intelligence,412,1,0,279,50,83,60.88562273979187,0.2292838557645861,4.674536048010485,3.678965007811425
no_prior_ridge,fluid_intelligence,412,1,0,279,50,83,37.637587785720825,0.2292838557645867,4.674536048010484,3.678965007811424
ncr_contrastive,fluid_intelligence,412,1,1,279,50,83,53.45588874816895,0.290762652822249,4.642992934974077,3.7969507699248473
no_prior_ridge,fluid_intelligence,412,1,1,279,50,83,32.47980332374573,0.3666806548090358,4.3793408463108685,3.611651596745456
ncr_contrastive,fluid_intelligence,412,1,2,280,50,82,52.56334590911865,0.4592568464725653,4.767850972716286,4.118207619817574
no_prior_ridge,fluid_intelligence,412,1,2,280,50,82,43.0094301700592,0.4592568464725642,4.767850972716289,4.118207619817578
