model,prior,target,seed,fold,split_id,n_train,n_val,n_test,best_hidden,best_dropout,best_learning_rate,best_epoch,parameters,pearson,rmse,mae,runtime_seconds,I_XZ_final,I_ZY_final,probe_r2_final,bypass_alpha,best_alpha1,best_alpha2,best_val_rmse
llm_gated,llm_wm,fluid_intelligence,6,0,seed06_fold00,279,50,83,32.0,0.2,0.003,11.0,213123.0,0.20286367424861346,4.549289008574663,3.633998526148049,136.4921679496765,2.5649752616882324,0.33133935928344727,,0.5020968914031982,,,
llm_gated,llm_wm,fluid_intelligence,6,1,seed06_fold01,279,50,83,32.0,0.5,0.001,10.0,213123.0,0.2706823729221844,4.876849540619914,4.040368447820824,126.77145719528198,1.7595643997192383,0.40559160709381104,,0.5012617707252502,,,
llm_gated,llm_wm,fluid_intelligence,6,2,seed06_fold02,280,50,82,32.0,0.5,0.003,14.0,213123.0,0.16464484310320204,5.180710592201675,4.342015464131425,138.8207778930664,1.2868236303329468,0.29206663370132446,,0.5008518695831299,,,
llm_gated,llm_wm,fluid_intelligence,6,3,seed06_fold03,280,50,82,16.0,0.2,0.001,11.0,61507.0,0.19067708018594212,4.682479210847607,3.863855920186857,117.833331823349,2.309755802154541,0.45780742168426514,,0.4999499171972275,,,
llm_gated,llm_wm,fluid_intelligence,6,4,seed06_fold04,280,50,82,16.0,0.5,0.001,10.0,61507.0,0.33308399592849525,5.451000326099348,4.593395372716392,139.7294328212738,1.6657661199569702,0.37453407049179077,,0.4992968738079071,,,
llm_gated,llm_wm,fluid_intelligence,7,0,seed07_fold00,279,50,83,32.0,0.5,0.001,23.0,213123.0,0.3443516979582719,4.996089003477861,3.913735228848745,254.92410945892334,2.4867632389068604,0.4850402772426605,,0.4957670569419861,,,
llm_gated,llm_wm,fluid_intelligence,7,1,seed07_fold01,279,50,83,16.0,0.2,0.001,14.0,61507.0,0.35547406836906303,4.826471666452929,3.9785497734345587,129.37327790260315,1.4722589254379272,0.3909147381782532,,0.49909740686416626,,,
llm_gated,llm_wm,fluid_intelligence,7,2,seed07_fold02,280,50,82,32.0,0.2,0.001,10.0,213123.0,0.27838792013157543,4.665948114127964,3.9252151047311177,134.95061898231506,2.6713075637817383,0.4438845217227936,,0.4995649755001068,,,
llm_gated,llm_wm,fluid_intelligence,7,3,seed07_fold03,280,50,82,16.0,0.5,0.001,10.0,61507.0,0.31529092193365255,4.975966410830634,4.1479017443773225,224.18390440940857,2.1055145263671875,0.3323073983192444,,0.49996475875377655,,,
llm_gated,llm_wm,fluid_intelligence,7,4,seed07_fold04,280,50,82,16.0,0.5,0.001,17.0,61507.0,0.19274822966499283,5.155251554063982,4.257279489098526,317.98215508461,2.1487369537353516,0.4046192169189453,,0.4999232292175293,,,
llm_gated,llm_wm,fluid_intelligence,8,0,seed08_fold00,279,50,83,32.0,0.2,0.003,10.0,213123.0,0.24785800949389902,4.822179696978978,4.1707986119281815,128.68888640403748,2.143383741378784,0.2379830777645111,,0.49950677156448364,,,
llm_gated,llm_wm,fluid_intelligence,8,1,seed08_fold01,279,50,83,16.0,0.5,0.001,15.0,61507.0,0.293911512320962,4.953481801549552,3.9866740215255554,110.90776062011719,2.5179216861724854,0.3862277865409851,,0.5006081312894821,,,
llm_gated,llm_wm,fluid_intelligence,8,2,seed08_fold02,280,50,82,32.0,0.2,0.003,16.0,213123.0,0.2558528795990538,5.383706796189405,4.350261257915962,133.4366648197174,2.047234535217285,0.3881801962852478,,0.5018070340156555,,,
llm_gated,llm_wm,fluid_intelligence,8,3,seed08_fold03,280,50,82,16.0,0.2,0.001,10.0,61507.0,0.10152066206133642,4.663970224353055,3.925834016102116,141.78242826461792,2.0548250675201416,0.39277327060699463,,0.4987603425979614,,,
llm_gated,llm_wm,fluid_intelligence,8,4,seed08_fold04,280,50,82,16.0,0.5,0.001,14.0,61507.0,0.21739251497869566,5.140502981587974,4.252813397384271,120.86312532424927,2.3613147735595703,0.3458251357078552,,0.5017305016517639,,,
llm_gated,llm_wm,fluid_intelligence,9,0,seed09_fold00,279,50,83,16.0,0.2,0.003,12.0,61507.0,0.14402473283610573,5.681182450115552,4.605785875435335,91.48192954063416,1.8256109952926636,0.3742176294326782,,0.49972254037857056,,,
llm_gated,llm_wm,fluid_intelligence,9,1,seed09_fold01,279,50,83,16.0,0.2,0.003,18.0,61507.0,0.18985543440333516,5.575297493926876,4.4909655559493835,112.57012915611267,2.2184500694274902,0.5663151741027832,,0.491934210062027,,,
