target,seed,fold,prior_type,selected_variant,selected_alpha,selected_eta,inner_pearson
working_memory,1,3,unrelated,pca_64,1000000.0,0.0,0.14365946003430416
working_memory,1,3,shuffled,topk_0.05,1000000.0,0.0,0.1435988426942569
working_memory,1,3,random,topk_0.05,1000000.0,0.0,0.1435988426942569
working_memory,1,4,matched,topk_0.2,10000.0,0.0,0.1365459618596813
working_memory,1,4,unrelated,topk_0.05,1000000.0,0.0,0.13596817420330715
working_memory,1,4,shuffled,topk_0.05,1000000.0,0.0,0.13596817420330715
working_memory,1,4,random,topk_0.05,100.0,0.0,0.13596817420330715
working_memory,2,0,matched,topk_0.05,1000000.0,0.0,0.15802552832231598
working_memory,2,0,unrelated,pca_64,10000.0,0.0,0.15858944126194163
working_memory,2,0,shuffled,topk_0.05,1000000.0,0.0,0.15802552832231598
working_memory,2,0,random,topk_0.05,1000000.0,0.0,0.15802552832231598
working_memory,2,1,matched,topk_0.05,1000000.0,0.0,0.09464791664048838
working_memory,2,1,unrelated,topk_0.05,1000000.0,1.0,0.09464791664048838
working_memory,2,1,shuffled,topk_0.05,1000000.0,0.0,0.09464791664048838
working_memory,2,1,random,pca_64,1000000.0,0.0,0.09788327401582703
working_memory,2,2,matched,topk_0.05,1000000.0,0.0,0.1884256767581566
working_memory,2,2,unrelated,topk_0.05,10000.0,0.0,0.1884256767581566
working_memory,2,2,shuffled,topk_0.05,1000000.0,0.0,0.1884256767581566
working_memory,2,2,random,topk_0.05,1000000.0,0.0,0.1884256767581566
working_memory,2,3,matched,topk_0.05,1000000.0,0.0,0.12853588971734076
working_memory,2,3,unrelated,topk_0.05,1000000.0,0.0,0.12853588971734076
working_memory,2,3,shuffled,pca_32,1000000.0,0.0,0.13227591254860332
working_memory,2,3,random,topk_0.05,1000000.0,0.0,0.12853588971734076
working_memory,2,4,matched,weighted_2.0,1000000.0,0.75,0.14942499157818567
working_memory,2,4,unrelated,pca_16,10000.0,0.0,0.15273874430467335
working_memory,2,4,shuffled,pca_8,1.0,1.0,0.15413999839798237
working_memory,2,4,random,topk_0.05,10000.0,0.0,0.1466397389438868
working_memory,3,0,matched,topk_0.05,1000000.0,0.0,0.1607202849251425
working_memory,3,0,unrelated,topk_0.2,1000000.0,0.0,0.16077432516618947
working_memory,3,0,shuffled,topk_0.05,1000000.0,0.0,0.1607202849251425
working_memory,3,0,random,topk_0.05,1000000.0,0.0,0.1607202849251425
working_memory,3,1,matched,topk_0.05,1000000.0,1.0,0.10117955117258952
working_memory,3,1,unrelated,topk_0.1,1000000.0,1.0,0.10042777335554853
working_memory,3,1,shuffled,pca_8,1000000.0,1.0,0.09895541909033695
working_memory,3,1,random,topk_0.05,1000000.0,0.0,0.0983388839607926
working_memory,3,2,matched,topk_0.05,1000000.0,0.0,0.31152797752375044
working_memory,3,2,unrelated,topk_0.05,1000000.0,0.0,0.31152797752375044
working_memory,3,2,shuffled,topk_0.05,1000000.0,0.0,0.31152797752375044
working_memory,3,2,random,topk_0.05,1000000.0,0.0,0.31152797752375044
working_memory,3,3,matched,topk_0.05,1000000.0,0.0,0.10917960001555932
working_memory,3,3,unrelated,pca_32,10000.0,0.0,0.12412488058444217
working_memory,3,3,shuffled,topk_0.05,1000000.0,0.0,0.10917960001555932
working_memory,3,3,random,topk_0.05,1000000.0,0.0,0.10917960001555932
working_memory,3,4,matched,topk_0.05,1000000.0,0.0,0.21351094083640337
working_memory,3,4,unrelated,topk_0.05,1000000.0,0.0,0.21351094083640337
working_memory,3,4,shuffled,topk_0.05,1000000.0,0.0,0.21351094083640337
working_memory,3,4,random,topk_0.05,1000000.0,0.0,0.21351094083640337
working_memory,4,0,matched,weighted_1.0,1000000.0,1.0,0.20030791182961796
working_memory,4,0,unrelated,pca_64,1000000.0,0.25,0.16301047273146818
working_memory,4,0,shuffled,pca_32,1000000.0,0.5,0.15167689867612066
working_memory,4,0,random,weighted_2.0,1000000.0,0.0,0.15668868189404475
working_memory,4,1,matched,topk_0.05,1000000.0,0.0,0.2576333309739883
working_memory,4,1,unrelated,topk_0.05,1000000.0,0.0,0.2576333309739883
working_memory,4,1,shuffled,topk_0.05,1000000.0,0.0,0.2576333309739883
working_memory,4,1,random,topk_0.05,1000000.0,0.0,0.2576333309739883
working_memory,4,2,matched,topk_0.05,1000000.0,0.0,0.2172890600243938
working_memory,4,2,unrelated,topk_0.05,10000.0,0.0,0.2172890600243938
working_memory,4,2,shuffled,topk_0.05,1000000.0,0.0,0.2172890600243938
working_memory,4,2,random,topk_0.05,1000000.0,0.0,0.2172890600243938
working_memory,4,3,matched,topk_0.1,1000000.0,0.0,0.13352599693641617
working_memory,4,3,unrelated,topk_0.2,1000000.0,0.0,0.12081440539603357
working_memory,4,3,shuffled,pca_8,1000000.0,0.0,0.1233030913732557
working_memory,4,3,random,weighted_0.5,1000000.0,0.0,0.14595579888930205
working_memory,4,4,matched,weighted_0.5,10000.0,0.0,0.06603055962452879
working_memory,4,4,unrelated,topk_0.05,10000.0,1.0,0.09152676521050766
working_memory,4,4,shuffled,pca_16,1000000.0,0.0,0.05161117415477619
working_memory,4,4,random,weighted_1.0,10000.0,0.0,0.05109165535065739
working_memory,5,0,matched,topk_0.05,1000000.0,0.0,0.27006660088139917
working_memory,5,0,unrelated,topk_0.05,1000000.0,0.0,0.27006660088139917
working_memory,5,0,shuffled,topk_0.05,1000000.0,0.0,0.27006660088139917
working_memory,5,0,random,topk_0.05,1000000.0,0.0,0.27006660088139917
working_memory,5,1,matched,topk_0.05,1000000.0,0.0,0.13859816345067968
