method,target,seed,fold,split_id,n_train,n_val,n_test,best_lambda1,best_lambda2,best_lambda3,runtime_seconds,pearson,rmse,mae,jaccard
mt_ncr_independent,jaccard_top10pct,3,3,seed03_fold03,,,,,,,,,,,0.1079734219269103
mt_ncr_joint_l21,fluid_intelligence,3,3,seed03_fold03,280.0,50.0,82.0,1.0,10.0,0.0,201.0957601070404,0.4782755463987299,4.613458763768764,3.897608736364266,
mt_ncr_joint_l21,working_memory,3,3,seed03_fold03,280.0,50.0,82.0,1.0,10.0,0.0,201.09577059745789,0.3932372503276022,11.078077825879747,9.0797504615423,
mt_ncr_joint_l21,jaccard_top10pct,3,3,seed03_fold03,,,,,,,,,,,0.1295512277730736
no_prior_ridge,fluid_intelligence,3,3,seed03_fold03,280.0,50.0,82.0,0.0,0.0,0.0,4.842862367630005,0.4688427544267516,4.570436014753272,3.860522344384561,
no_prior_ridge,working_memory,3,3,seed03_fold03,280.0,50.0,82.0,0.0,0.0,0.0,4.842865228652954,0.4373061584215061,10.841628463662431,8.888874285011635,
mt_ncr_independent,fluid_intelligence,3,4,seed03_fold04,280.0,50.0,82.0,0.0,0.0,0.0,55.75293922424317,0.2794855532781362,4.859298137988388,3.921837202752244,
mt_ncr_independent,working_memory,3,4,seed03_fold04,280.0,50.0,82.0,0.0,0.0,0.0,55.75294232368469,0.2844258724083902,10.729341065099549,8.303746180453077,
mt_ncr_independent,jaccard_top10pct,3,4,seed03_fold04,,,,,,,,,,,0.1015689512799339
mt_ncr_joint_l21,fluid_intelligence,3,4,seed03_fold04,280.0,50.0,82.0,1.0,0.0,0.0,197.57026624679563,0.2631229378448856,4.829319918742866,4.006224926559243,
mt_ncr_joint_l21,working_memory,3,4,seed03_fold04,280.0,50.0,82.0,1.0,0.0,0.0,197.5702700614929,0.2844248024978997,10.729344070781954,8.303750275211748,
mt_ncr_joint_l21,jaccard_top10pct,3,4,seed03_fold04,,,,,,,,,,,0.1712028094820017
no_prior_ridge,fluid_intelligence,3,4,seed03_fold04,280.0,50.0,82.0,0.0,0.0,0.0,5.01064395904541,0.2794855532781367,4.859298137988386,3.921837202752242,
no_prior_ridge,working_memory,3,4,seed03_fold04,280.0,50.0,82.0,0.0,0.0,0.0,5.010647773742676,0.2844258724083888,10.729341065099552,8.303746180453079,
mt_ncr_independent,fluid_intelligence,4,0,seed04_fold00,279.0,50.0,83.0,0.0,0.0,0.0,52.02714848518372,0.0798353819931481,4.825532207910175,4.20996214310086,
mt_ncr_independent,working_memory,4,0,seed04_fold00,279.0,50.0,83.0,0.0,0.0,0.0,52.0271520614624,0.1773491083118009,10.929796560147762,8.732218281761547,
mt_ncr_independent,jaccard_top10pct,4,0,seed04_fold00,,,,,,,,,,,0.1421232876712329
mt_ncr_joint_l21,fluid_intelligence,4,0,seed04_fold00,279.0,50.0,83.0,1000.0,0.0,1.0,192.2875368595124,0.0758731782876194,4.828050665834386,4.213063866084099,
mt_ncr_joint_l21,working_memory,4,0,seed04_fold00,279.0,50.0,83.0,1000.0,0.0,1.0,192.28754043579104,0.1757817650115102,10.937620504945526,8.737727916211737,
mt_ncr_joint_l21,jaccard_top10pct,4,0,seed04_fold00,,,,,,,,,,,0.2964042759961127
no_prior_ridge,fluid_intelligence,4,0,seed04_fold00,279.0,50.0,83.0,0.0,0.0,0.0,5.205207347869873,0.0798353819931481,4.825532207910175,4.20996214310086,
no_prior_ridge,working_memory,4,0,seed04_fold00,279.0,50.0,83.0,0.0,0.0,0.0,5.205219984054565,0.1773491083118009,10.929796560147762,8.732218281761547,
mt_ncr_independent,fluid_intelligence,4,1,seed04_fold01,279.0,50.0,83.0,0.0,0.0,0.0,51.60449123382568,0.2466903872869608,4.818580864469064,3.942113559721262,
mt_ncr_independent,working_memory,4,1,seed04_fold01,279.0,50.0,83.0,0.0,0.0,0.0,51.60449528694153,0.1346526759904431,11.590207838606874,9.677871433919298,
mt_ncr_independent,jaccard_top10pct,4,1,seed04_fold01,,,,,,,,,,,0.1191275167785234
