method_id,method_name,method_family,seed,fold,split_id,n_train,n_val,n_test,best_alpha,best_gamma,best_kernel,gate_mode,best_val_rmse,parameters,runtime_seconds,device,group_aware,pearson,rmse,mae,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),two_stage_kernel_ridge,2,4,seed02_fold04,280,50,82,0.01,0.0001,rbf,product,4.557039376431863,331,0.7414093017578125,cuda,False,0.3743172802339478,4.494757360401433,3.552008399269036,-0.5314066265611925,-0.5290012750582138,0.0
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),two_stage_kernel_ridge,2,4,seed02_fold04,280,50,82,0.01,0.001,rbf,product,4.535251364213253,331,0.7079963684082031,cuda,False,0.320853543817184,4.599625470091881,3.7494370580202716,0.019182630966454346,0.01344901566878547,0.0
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),two_stage_kernel_ridge,3,0,seed03_fold00,279,50,83,0.1,1e-05,rbf,product,4.911088081178723,330,0.6929786205291748,cuda,False,0.4478587493834094,4.583186947048352,3.9007600310908983,-0.2782334580711716,-0.2755724785011445,0.0
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),two_stage_kernel_ridge,3,0,seed03_fold00,279,50,83,1.0,0.001,rbf,product,4.917243309423252,330,0.6733810901641846,cuda,False,0.4097501571617586,4.650454370273179,3.959192747040111,0.7396862555905066,0.6814600757773681,0.42857142857142855
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),two_stage_kernel_ridge,3,0,seed03_fold00,279,50,83,0.01,0.001,rbf,product,4.8984048654791845,330,0.6775927543640137,cuda,False,0.3985033760013172,4.673842733273402,3.9268350709928,-0.47208736127392514,-0.45762111131742256,0.0
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),two_stage_kernel_ridge,3,0,seed03_fold00,279,50,83,0.01,0.001,rbf,product,4.897628909545855,330,0.6723673343658447,cuda,False,0.3609080986273957,4.727554250773963,3.971283770943028,-0.346232972830323,-0.33973122499089087,0.0
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),two_stage_kernel_ridge,3,1,seed03_fold01,279,50,83,0.01,1e-05,rbf,product,4.396853926949781,330,0.7488150596618652,cuda,False,0.23227696781378737,4.863099931142344,4.100220131489141,-0.4888470116836442,-0.4997660215398067,0.0
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),two_stage_kernel_ridge,3,1,seed03_fold01,279,50,83,0.01,1e-05,rbf,product,4.3778180547389836,330,0.6705493927001953,cuda,False,0.19067936201637425,4.796653671245528,4.095683296904064,0.755648513720895,0.6789230910169735,0.42857142857142855
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),two_stage_kernel_ridge,3,1,seed03_fold01,279,50,83,0.01,1e-05,rbf,product,4.4007903210805726,330,0.6757247447967529,cuda,False,0.2261573610693023,4.8482240690266885,4.076323941825878,-0.46002670340389606,-0.4619509652293561,0.0
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),two_stage_kernel_ridge,3,1,seed03_fold01,279,50,83,0.01,1e-05,rbf,product,4.519859292798131,330,0.7199070453643799,cuda,False,0.288536594345284,4.660004689970418,3.979029051540769,0.13919699013701312,0.18189381681712008,0.05263157894736842
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),two_stage_kernel_ridge,3,2,seed03_fold02,280,50,82,0.01,0.001,rbf,product,4.634146261426188,331,0.6735949516296387,cuda,False,0.43298287045792716,4.517176033924132,3.73426830051699,-0.4373884441378345,-0.5150129004246199,0.0
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),two_stage_kernel_ridge,3,2,seed03_fold02,280,50,82,1.0,0.001,rbf,product,4.6736864207362325,331,0.6741733551025391,cuda,False,0.2941981732766148,4.75716535472495,4.021975675127891,0.7485498362338638,0.6832242937794899,0.42857142857142855
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),two_stage_kernel_ridge,3,2,seed03_fold02,280,50,82,0.01,0.0001,rbf,product,4.511539414305795,331,0.7369711399078369,cuda,False,0.4111782208020137,4.6115168242401525,3.6329790508564574,-0.4362792930899932,-0.4498004063277018,0.0
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),two_stage_kernel_ridge,3,2,seed03_fold02,280,50,82,0.01,0.001,rbf,product,4.548188262316115,331,0.6691224575042725,cuda,False,0.3849745934164585,4.612080110276643,3.7147241698743834,-0.2127582962805357,-0.2509916930864538,0.0
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),two_stage_kernel_ridge,3,3,seed03_fold03,280,50,82,0.1,1e-05,rbf,product,5.0086269948835485,331,0.6651942729949951,cuda,False,0.5030250526644361,4.679522110697865,3.8759253237345686,-0.3957589628764212,-0.39212395554463325,0.0
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),two_stage_kernel_ridge,3,3,seed03_fold03,280,50,82,0.01,1e-05,rbf,product,4.995257710631609,331,0.6802897453308105,cuda,False,0.4579825353850059,4.6576149354985645,3.902070869918738,0.7488292428078499,0.7127778541876741,0.3333333333333333
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),two_stage_kernel_ridge,3,3,seed03_fold03,280,50,82,0.1,1e-05,rbf,product,4.908645858151879,331,0.6813194751739502,cuda,False,0.496322133798907,4.661791092974588,3.8714588453296095,-0.49060793340715614,-0.5018735167541504,0.0
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),two_stage_kernel_ridge,3,3,seed03_fold03,280,50,82,0.1,1e-05,rbf,product,5.043226742554807,331,0.6695334911346436,cuda,False,0.4728779928198451,4.8105148097585175,4.015590647594092,-0.23140031368646288,-0.26002595574699333,0.0
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),two_stage_kernel_ridge,3,4,seed03_fold04,280,50,82,0.1,1e-05,rbf,product,4.530305941978319,331,0.7106618881225586,cuda,False,0.34405023632840875,4.264164553146767,3.6561633989289337,-0.29532915894449163,-0.31325768913488206,0.0
