target,prior_type,lifting,modality,residual_pearson,seed,fold
fluid_intelligence,random,mean,SC,-0.0005386975818933524,2,0
fluid_intelligence,random,max,FC,0.014265798947492562,2,0
fluid_intelligence,random,max,SC,0.001346859117787584,2,0
fluid_intelligence,random,bridge,FC,-0.0064407103489414926,2,0
fluid_intelligence,random,bridge,SC,0.00010089068841993322,2,0
fluid_intelligence,matched,prod,FC,0.11969973251243514,2,1
fluid_intelligence,matched,prod,SC,0.0071868528922722445,2,1
fluid_intelligence,matched,mean,FC,0.12817036976244223,2,1
fluid_intelligence,matched,mean,SC,-0.004460823323302896,2,1
fluid_intelligence,matched,max,FC,0.10448990956749771,2,1
fluid_intelligence,matched,max,SC,-0.014993120734548362,2,1
fluid_intelligence,matched,bridge,FC,0.06945481147479043,2,1
fluid_intelligence,matched,bridge,SC,-0.01896317412114916,2,1
fluid_intelligence,unrelated,prod,FC,0.09954301614229955,2,1
fluid_intelligence,unrelated,prod,SC,-0.01863181196780197,2,1
fluid_intelligence,unrelated,mean,FC,0.11747687615713762,2,1
fluid_intelligence,unrelated,mean,SC,-0.00802132448393244,2,1
fluid_intelligence,unrelated,max,FC,0.10355036612911392,2,1
fluid_intelligence,unrelated,max,SC,0.005121103391233459,2,1
fluid_intelligence,unrelated,bridge,FC,0.08690871714462703,2,1
fluid_intelligence,unrelated,bridge,SC,0.009079005095709821,2,1
fluid_intelligence,shuffled,prod,FC,-0.03229463178699639,2,1
fluid_intelligence,shuffled,prod,SC,-0.007697101052530862,2,1
fluid_intelligence,shuffled,mean,FC,-0.051031175225275144,2,1
fluid_intelligence,shuffled,mean,SC,-0.0166866580937323,2,1
fluid_intelligence,shuffled,max,FC,-0.04761914351749116,2,1
fluid_intelligence,shuffled,max,SC,-0.017113358103901466,2,1
fluid_intelligence,shuffled,bridge,FC,-0.05004521878088652,2,1
fluid_intelligence,shuffled,bridge,SC,-0.020536710943853724,2,1
fluid_intelligence,random,prod,FC,0.006410411156064747,2,1
fluid_intelligence,random,prod,SC,-0.004566917600786668,2,1
fluid_intelligence,random,mean,FC,-0.003237650060775469,2,1
fluid_intelligence,random,mean,SC,0.0016955030563854212,2,1
fluid_intelligence,random,max,FC,-0.012571404653273891,2,1
fluid_intelligence,random,max,SC,0.008309726478970226,2,1
fluid_intelligence,random,bridge,FC,-0.023892260333088392,2,1
fluid_intelligence,random,bridge,SC,0.015562154280819394,2,1
fluid_intelligence,matched,prod,FC,0.05036264798183236,2,2
fluid_intelligence,matched,prod,SC,-0.0036463285991447138,2,2
fluid_intelligence,matched,mean,FC,0.0363912768013698,2,2
fluid_intelligence,matched,mean,SC,0.0025237627187733296,2,2
fluid_intelligence,matched,max,FC,0.021167452601490718,2,2
fluid_intelligence,matched,max,SC,0.0066417377102864815,2,2
fluid_intelligence,matched,bridge,FC,-0.004147085522365658,2,2
fluid_intelligence,matched,bridge,SC,0.010116932952010967,2,2
fluid_intelligence,unrelated,prod,FC,0.04846076900322706,2,2
fluid_intelligence,unrelated,prod,SC,-0.024697497657655523,2,2
fluid_intelligence,unrelated,mean,FC,0.021631402974360604,2,2
fluid_intelligence,unrelated,mean,SC,-0.011504680034855238,2,2
fluid_intelligence,unrelated,max,FC,0.011221767209497524,2,2
fluid_intelligence,unrelated,max,SC,0.008010026034088812,2,2
fluid_intelligence,unrelated,bridge,FC,-0.022220204809076344,2,2
fluid_intelligence,unrelated,bridge,SC,0.010452378589251798,2,2
fluid_intelligence,shuffled,prod,FC,-0.011972566315223957,2,2
fluid_intelligence,shuffled,prod,SC,-0.012116418139196235,2,2
fluid_intelligence,shuffled,mean,FC,-0.022543569715285948,2,2
fluid_intelligence,shuffled,mean,SC,-0.028090901044219747,2,2
fluid_intelligence,shuffled,max,FC,-0.029267003969785602,2,2
fluid_intelligence,shuffled,max,SC,-0.029179832985920803,2,2
fluid_intelligence,shuffled,bridge,FC,-0.025451235431098305,2,2
fluid_intelligence,shuffled,bridge,SC,-0.0357981213335873,2,2
fluid_intelligence,random,prod,FC,-0.03774140562058485,2,2
fluid_intelligence,random,prod,SC,0.00016906748329963183,2,2
fluid_intelligence,random,mean,FC,-0.03757624718696724,2,2
fluid_intelligence,random,mean,SC,0.0050805255247755275,2,2
fluid_intelligence,random,max,FC,-0.013941066232992147,2,2
fluid_intelligence,random,max,SC,0.011569117084767516,2,2
fluid_intelligence,random,bridge,FC,0.005416347956696901,2,2
fluid_intelligence,random,bridge,SC,0.011705916006371195,2,2
fluid_intelligence,matched,prod,FC,0.05810695436139962,2,3
fluid_intelligence,matched,prod,SC,-0.01099224118200352,2,3
fluid_intelligence,matched,mean,FC,0.061216587300565915,2,3
fluid_intelligence,matched,mean,SC,-0.014171702158788078,2,3
fluid_intelligence,matched,max,FC,0.06000229207592861,2,3
fluid_intelligence,matched,max,SC,-0.0121867733501476,2,3
fluid_intelligence,matched,bridge,FC,0.031808634206003716,2,3
fluid_intelligence,matched,bridge,SC,-0.010948365905895097,2,3
fluid_intelligence,unrelated,prod,FC,0.09266425274242164,2,3
