edge_idx,roi_i,roi_j,lor_mean,lor_sd,delta_pmi,pmi_fluid,pmi_background
3996,42,70,-0.11123111330262714,0.3423621429804795,-1.6714895996693762,-5.239906526790975,-3.5684169271215986
3997,42,71,0.0,0.0,-1.7042170154990037,-6.622217400129764,-4.91800038463076
3998,42,72,-0.11123111330262714,0.3423621429804794,-1.54046774080353,-5.930399812740331,-4.3899320719368005
3999,42,73,0.0,0.0,-1.1820586689795194,-5.930399812740331,-4.748341143760811
4000,42,74,1.1123111330262712,2.278129578503827e-16,7.922506994597047,3.594724301411182,-4.327782693185865
4001,42,75,-0.11123111330262714,0.3423621429804794,-2.9118226656666812,-5.930399812740331,-3.0185771470736493
4002,42,76,0.0,0.0,-0.6836846157430063,-6.334978721854718,-5.6512941061117115
4003,42,77,0.0,0.0,-1.0856302307886354,-6.334978721854718,-5.249348491066082
4004,42,78,0.0,0.0,-1.4072838090181916,-5.239906526790975,-3.832622717772783
4005,42,79,-0.05561555665131357,0.2487203305576555,4.421602862605921,0.0,-4.421602862605921
4006,42,80,-0.11123111330262714,0.3423621429804793,-0.5573224495830278,-5.239906526790975,-4.682584077207947
4007,42,81,-0.11123111330262714,0.34236214298047934,3.6853437138375655,0.0,-3.6853437138375655
4008,42,82,-0.05561555665131357,0.24872033055765544,-2.7044833631244005,-5.239906526790975,-2.5354231636665743
4009,42,83,-0.05561555665131357,0.2487203305576555,-2.7388239487514765,-5.239906526790975,-2.5010825780394983
4010,42,84,-0.11123111330262714,0.34236214298047934,-2.5527743830454805,-5.930399812740331,-3.37762542969485
4011,42,85,-0.05561555665131357,0.24872033055765547,-2.298279462023858,-5.239906526790975,-2.941627064767117
4012,42,86,0.0,0.0,2.0268857663919033,0.0,-2.0268857663919033
4013,42,87,0.0,0.0,-2.855813933394897,-5.239906526790975,-2.384092593396078
4014,42,88,0.0,0.0,0.2965199906370165,0.0,-0.2965199906370165
4015,42,89,0.0,0.0,0.8551015226855856,0.0,-0.8551015226855856
4016,42,90,0.0,0.0,3.5703492469012956,0.0,-3.5703492469012956
4017,42,91,0.0,0.0,-1.7185322235794742,-5.239906526790975,-3.5213743032115006
4018,42,92,0.0,0.0,-5.142965532692681,-6.334978721854718,-1.192013189162037
4019,42,93,0.0,0.0,-3.785898011289389,-5.239906526790975,-1.4540085155015858
4020,42,94,0.0,0.0,-3.1582671506458846,-5.239906526790975,-2.08163937614509
4021,42,95,0.0,0.0,1.5028951137128057,0.0,-1.5028951137128057
4022,42,96,0.0,0.0,2.6603174235053713,0.0,-2.6603174235053713
4023,42,97,0.0,0.0,2.150865395697177,0.0,-2.150865395697177
4024,42,98,0.0,0.0,-0.7335268967442605,-5.239906526790975,-4.506379630046714
4025,42,99,-0.11123111330262714,0.34236214298047934,-2.2757607556567536,-5.930399812740331,-3.654639057083577
4026,42,100,0.0,0.0,-3.826289687128824,-5.239906526790975,-1.413616839662151
4027,42,101,1.1123111330262712,2.278129578503827e-16,5.1259571761323715,4.285217587360538,-0.8407395887718334
4028,42,102,0.0,0.0,1.4337795700458664,0.0,-1.4337795700458664
4029,42,103,0.0,0.0,-3.1784960961016036,-5.239906526790975,-2.0614104306893712
4030,42,104,-0.05561555665131357,0.2487203305576555,1.0325059195471973,0.0,-1.0325059195471973
4031,42,105,0.0,0.0,-5.425101459009373,-6.334978721854718,-0.9098772628453444
4032,42,106,0.0,0.0,0.8954931985250205,0.0,-0.8954931985250205
4033,42,107,0.0,0.0,1.1515552982505983,0.0,-1.1515552982505983
4034,42,108,0.0,0.0,0.9097889173667688,0.0,-0.9097889173667688
4035,42,109,0.0,0.0,1.502895113712806,0.0,-1.502895113712806
4036,42,110,0.0,0.0,3.25344575025798,0.0,-3.25344575025798
4037,42,111,0.0,0.0,2.7296317885360337,0.0,-2.7296317885360337
4038,42,112,0.0,0.0,-2.619892433646463,-5.239906526790975,-2.620014093144512
4039,42,113,0.0,0.0,0.8550353076135817,0.0,-0.8550353076135817
4040,42,114,0.0,0.0,-3.02831600835113,-5.930399812740331,-2.9020838043892008
